feature,importance
Credit_Score,0.9992320129071264
Age_Newest_TL,0.00024264306543088834
NETMONTHLYINCOME,0.00021835977175459505
max_unsec_exposure_inPct,0.00018455915606614337
Consumer_TL,0.00012064020980960076
PL_enq_L6m,1.7848898122516058e-06
time_since_recent_payment,0.0
num_deliq_6mts,0.0
max_recent_level_of_deliq,0.0
num_deliq_12mts,0.0
num_deliq_6_12mts,0.0
num_times_30p_dpd,0.0
num_times_60p_dpd,0.0
max_deliq_6mts,0.0
max_deliq_12mts,0.0
num_std_12mts,0.0
num_sub,0.0
num_sub_6mts,0.0
num_sub_12mts,0.0
num_dbt,0.0
num_dbt_6mts,0.0
num_std,0.0
num_std_6mts,0.0
num_lss,0.0
num_dbt_12mts,0.0
num_lss_6mts,0.0
num_lss_12mts,0.0
CC_enq,0.0
CC_enq_L6m,0.0
recent_level_of_deliq,0.0
tot_enq,0.0
PL_enq,0.0
CC_enq_L12m,0.0
time_since_recent_enq,0.0
PL_enq_L12m,0.0
num_times_delinquent,0.0
max_delinquency_level,0.0
time_since_first_deliquency,0.0
time_since_recent_deliquency,0.0
AGE,0.0
enq_L3m,0.0
enq_L6m,0.0
enq_L12m,0.0
CC_utilization,0.0
CC_Flag,0.0
Time_With_Curr_Empr,0.0
pct_of_active_TLs_ever,0.0
PL_Flag,0.0
PL_utilization,0.0
pct_PL_enq_L6m_of_L12m,0.0
pct_CC_enq_L6m_of_L12m,0.0
pct_CC_enq_L6m_of_ever,0.0
pct_PL_enq_L6m_of_ever,0.0
pct_opened_TLs_L6m_of_L12m,0.0
pct_currentBal_all_TL,0.0
Total_TL,0.0
Tot_Closed_TL,0.0
Tot_Active_TL,0.0
Total_TL_opened_L6M,0.0
Tot_TL_closed_L6M,0.0
pct_tl_open_L6M,0.0
pct_tl_closed_L6M,0.0
pct_active_tl,0.0
pct_closed_tl,0.0
Total_TL_opened_L12M,0.0
Tot_TL_closed_L12M,0.0
pct_tl_open_L12M,0.0
pct_tl_closed_L12M,0.0
Tot_Missed_Pmnt,0.0
HL_Flag,0.0
GL_Flag,0.0
CC_TL,0.0
Auto_TL,0.0
Home_TL,0.0
Gold_TL,0.0
Secured_TL,0.0
Unsecured_TL,0.0
Other_TL,0.0
PL_TL,0.0
Age_Oldest_TL,0.0
MARITALSTATUS_Married,0.0
MARITALSTATUS_Single,0.0
EDUCATION_12TH,0.0
EDUCATION_GRADUATE,0.0
EDUCATION_OTHERS,0.0
EDUCATION_POST-GRADUATE,0.0
EDUCATION_PROFESSIONAL,0.0
EDUCATION_SSC,0.0
EDUCATION_UNDER GRADUATE,0.0
GENDER_F,0.0
GENDER_M,0.0
last_prod_enq2_AL,0.0
last_prod_enq2_CC,0.0
last_prod_enq2_ConsumerLoan,0.0
last_prod_enq2_HL,0.0
last_prod_enq2_PL,0.0
last_prod_enq2_others,0.0
first_prod_enq2_AL,0.0
first_prod_enq2_CC,0.0
first_prod_enq2_ConsumerLoan,0.0
first_prod_enq2_HL,0.0
first_prod_enq2_PL,0.0
first_prod_enq2_others,0.0
